ilość,active,id,variantId,sku,namePL,variantName,PL_1,CZ_5,HU_7,EN_9,DE_11,FR_13,LT_15,RU_17,RO_19,SK_21,IT_23,BG_25,UA_27,ES_29,HR_31,NL_33,ME_39,BE_35,AT_37,RS_41,IR_43,SI_45,EE_47,LV_49,PT_51,FI_53,GR_55
46,0,4020,32669,,Szlafrok Diamond Podomka Diam S/M z allegro,Pink / Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32670,,Szlafrok Diamond Podomka Diam S/M z allegro,Purple / Ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32671,,Szlafrok Diamond Podomka Diam S/M z allegro,fiolet / szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32672,,Szlafrok Diamond Podomka Diam S/M z allegro,jasnoszary / L.GREY,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32673,,Szlafrok Diamond Podomka Diam S/M z allegro,ciemnoszary,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32674,,Szlafrok Diamond Podomka Diam S/M z allegro,Grey / Navy blue,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32675,,Szlafrok Diamond Podomka Diam S/M z allegro,NAVY / GREY,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32676,,Szlafrok Diamond Podomka Diam S/M z allegro,mocca / ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32677,,Szlafrok Diamond Podomka Diam S/M z allegro,Grey / Ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32678,,Szlafrok Diamond Podomka Diam S/M z allegro,beige / ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32679,,Szlafrok Diamond Podomka Diam S/M z allegro,Black / Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32680,,Szlafrok Diamond Podomka Diam S/M z allegro,miętowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32681,,Szlafrok Diamond Podomka Diam S/M z allegro,ciemnobrązowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
