#	Nazwa produktu	Opcja	Cena netto	Stawka VAT	Suma VAT	Cena brutto	Producent	Dostępne	W magazynie	W kolejce	Waga
1132	Pierścień stabilizujący pod umywalkę mosiężny Rea	---	20.33	23	4.67	25	Rea	5	6	1	1kg
1150	Taśma treningowa Resistance + uchwyt Flexifit	szary	20.33	23	4.67	25	FlexiFit	0	3	3	0.2kg
1151	Guma Power Loop 83 mm pomarańczowa Flexifit	pomarańczowy	56.1	23	12.9	69	FlexiFit	74	74	0	0.2kg
1153	Piłka Bosu z linkami + pompka Flexifit	---	161.79	23	37.21	199	FlexiFit	117	117	0	1kg
1157	Stepper 3-stopniowy szaro-czarny Flexifit	---	72.36	23	16.64	89	FlexiFit	5	5	0	3.5kg
1152	Lina z uchwytami fioletowa  Flexifit	---	12.11	23	2.79	14.9	FlexiFit	0	2	2	1kg
1165	Wałek do masażu Rumble Joga Roller Flexifit	niebieski	47.97	23	11.03	59	FlexiFit	0	0	0	1kg
1167	Drążek rozporowy do framugi drzwi Flexifit	---	19.51	23	4.49	24	FlexiFit	0	2	2	2kg
1168	Sznur uchwyt do wyciągu Triceps Flexifit	---	26.02	23	5.98	32	FlexiFit	0	1	1	2kg
1177	Gryf długi prosty z zaciskami Flexifit	---	52.85	23	12.15	65	FlexiFit	0	0	0	8.6kg
1178	Gryf krótki Hollow z zaciskami Flexifit	---	14.23	23	3.27	17.5	FlexiFit	0	4	4	0.5kg
1193	Talerz kompozytowy 10 kg Flexifit	10 kg	26.42	23	6.08	32.5	FlexiFit	0	1	1	9kg
988	Wałek do masażu Neon Rumble Roller Flexifit	żółty	34.15	23	7.85	42	FlexiFit	1	1	0	1kg
988	Wałek do masażu Neon Rumble Roller Flexifit	fioletowy	34.15	23	7.85	42	FlexiFit	0	1	1	1kg
923	Wałek do masażu EPP Roller Flexifit	czarny	29.27	23	6.73	36	FlexiFit	0	0	0	1kg
829	Wałek do masażu EPP 2w1 Full Fitness Roller Flexifit	czarny	21.14	23	4.86	26	FlexiFit	0	8	8	1kg
840	Hantle Space 2 x 1 kg Flexifit	2 x 1 kg	8.62	23	1.98	10.6	FlexiFit	0	1	1	2kg
1198	Talerz stalowy z uchwytem 5kg PRO Flexifit	5 kg	28.46	23	6.54	35	FlexiFit	0	0	0	5kg
981	Hantle cementowe 2 x 1,5 kg szare Flexifit	2 x 1,5 kg	8.05	23	1.85	9.9	FlexiFit	0	0	0	3kg
1201	Talerz stalowy z uchwytem 10kg PRO Flexifit	10 kg	52.85	23	12.15	65	FlexiFit	0	0	0	10kg
1203	Piłka lekarska Wall Ball 8 kg Flexifit	zielona 8 kg	109.76	23	25.24	135	FlexiFit	0	1	1	8kg
